ID;Statement;Keywords;Degree difficulty;Course;Chapter;University
856;Macro Corporation and Micro Company combine, and a new organization, MM, Inc., takes their place. What is the term for this type of combination?;;0.24;Mathematics 101;Numbers;"""1 Decembrie 1918"" University of Alba-Iulia"
857;Find the derivative of the following using logarithmic differentiation. f(x)= exp(x^2)/ ((sqrt(x2+1))(2x^2 +3));;0.78;Mathematics 101;Numbers;"""1 Decembrie 1918"" University of Alba-Iulia"
858;If y = (3x + 1)^5 over (4x + 1)^3 (x^2 + 1), then find y'(0).;;0.8;Mathematics 101;Numbers;"""1 Decembrie 1918"" University of Alba-Iulia"
859;Find the derivative of y with respect to x. y = ln((1 + sqrt x)/x^3).;;0.47;Mathematics 101;Numbers;"""1 Decembrie 1918"" University of Alba-Iulia"
860;Find the derivative with respect to x. int_sqrt x^{x^7} sqrt u sin (u) du ;;0.25;Mathematics 101;Numbers;"""1 Decembrie 1918"" University of Alba-Iulia"
861;The recycling of water from the oceans to the land and back is known as the a. hydraulic action. b. profile of equilibrium. c. drainage pattern. d. hydrologic cycle. e. suspended load.;;0.85;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
862;Which orogeny was not involved in the closing of the Iapetus Ocean? a. Acadian. b. Alleghenian. c. Antler. d. Caledonian. e. Taconic.;;0.91;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
863;Explain the differences between physical and human geography. Provide examples to support your answers.;;0.87;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
864;What two basic questions does geography answer? Next, name the two branches of geography and provide at least four examples of what each would specifically study.;;0.63;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
865;Are hydrology and hydrogeology the same?;;0.04;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
866;What features are associated with flood plains and how are these features created?;;0.4;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
867;Is hydrography closer to geophysics or geology?;;0.08;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
868;What is Greater India?;;0.06;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
869;How do geomorphic fluvial and biogeography interact with each other?;;0.95;Ecology;Human Geography;University of Agronomic Sciences and Veterinary Medicine Bucharest
870;Who was Strabo?;;0.52;Ecology;Human Geography;University of Pitesti
871;What did Strabo write?;;0.28;Ecology;Human Geography;University of Pitesti
872;What did Strabo do for geography?;;0.71;Ecology;Human Geography;University of Pitesti
873;How did Strabo die?;;0.33;Ecology;Human Geography;University of Pitesti
874;What are weathering erosion and stream capture examples of?;;0.54;Ecology;Human Geography;University of Pitesti
875;What is the difference between morphometry and geomorphology?;;0.56;Ecology;Human Geography;University of Pitesti
876;How does chaos theory impact geography?;;0.89;Ecology;Human Geography;University of Pitesti
877;How does the anthroposphere affect the biosphere?;;0.95;Ecology;Human Geography;University of Pitesti
878;What is geography the study of?;;0.26;Ecology;Human Geography;University of Pitesti
879;How does special relativity-time dilation play a role in GPS systems?;;0;Physics 101;Quantum mechanics;University of Pitesti
880;How can someone's perceptions of psychology have changed since the beginning, when they didn't know much until they better understood the subject?;;0.51;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
881;Psychology's four goals include all of the following except ________. a. prediction. b. control. c. explanation. d. prescription.;;0.47;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
882;The field of psychology tends to favor the use of direct observation over reasoning as a means of gaining knowledge about behavior. a. True. b. False.;;0.6;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
883;Professor Shimizu started her lecture by presenting the four main goals of Psychology: To describe, explain, predict, and change behavior. He tells his students that psychologists use these goals a...;;0.19;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
884;Professor Hechavarria studies the immunological health of people who live and work in submarines. One of his findings is that cramped quarters can affect mood and memory. He also states that the sa...;;0.05;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
885;Psychological thinkers understand that behavior is complex and accept ambiguity. A. True B. False;;1;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
886;According to Leary (1987), what were the main things the early proponents of modern psychology need to convince university boards of?;;0.39;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
887;What is meant by the quantitative imperative in psychology?;;0.71;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
888;What are rationalism and its role as a way of knowing in modern psychology? Explain.;;0.28;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
889;What does Stanovich (2004) mean when he says psychology has unity in science? Explain.;;0.29;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
890;What is the purpose of a research study in psychology? Explain.;;0.85;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
891;"Suppose damage to brain area ""A"" leaves someone unable to recognize faces, but does not affect the ability to recognize everyday objects.";;0.24;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
892;What is neurodiversity?;;0.01;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
893;Progress in Psychology often depends on: a. the majority opinion of experts in that particular psychological specialty. b. the development of suitable research methods. c. the use of common sense a...;;0.08;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
894;What is meant by person-environment fit?;;0.04;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
895;How does personal development relate to psychology? Explain.;;0.96;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
896;Answer true or false: The four elements of the MARS model are motivation, ability, role perceptions, and situational factors.;;0.52;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
897;"""Why questions"" refer to which of psychology's goals?";;0.05;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
898;Which of the following is a career option with a bachelor's degree in Psychology? A. Clinical Psychologist B. Academic Advisor C. Forensic Psychologist D. All of the above;;0.72;Basic Psychology;Social psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
899;Discuss the methodology used in the early social psychological experiments with attention to ethical dilemmas related to the conduction of the research.;;0.68;Basic Psychology;Social psychology;University of Pitesti
900;Social norms develop in a group and community and the nature of the human being is to “go along with the crowd”. Using studies and theories discussed in the chapter on the social psychology of groups to expand upon the above statement.;;0.15;Basic Psychology;Social psychology;University of Pitesti
901;Describe the work of Kurt Lewin, his contributions, and legacy.;;0.55;Basic Psychology;Social psychology;University of Pitesti
902;Explain why soldiers are willing to fight from a social psychological point of view.;;0.92;Basic Psychology;Social psychology;University of Pitesti
903;What can we learn about conflict resolution from the Robber’s Cave Experiment?;;0.22;Basic Psychology;Social psychology;University of Pitesti
904;Compare one of the group experiments to one of the films that depicts group behaviors (The Lord of the Flies, Fight Club, Do the Right Thing, Boys Don’t Cry).;;0.09;Basic Psychology;Social psychology;University of Pitesti
905;From an ethical standpoint, consider how Festinger studied personal reactions when prophecy fails. Use the Belmont Report guide in your discussion.;;0.2;Basic Psychology;Social psychology;University of Pitesti
906;Account for the Jewish background in several of the social psychologists whose work was presented in this text and how this history impacted their research.;;0.16;Basic Psychology;Social psychology;University of Pitesti
907;Explain why people conform to the group even when it goes against their personal beliefs.;;0.87;Basic Psychology;Social psychology;University of Pitesti
908;Relate findings on group conformity to the process of jury deliberation.;;0.76;Law;Law principles;University of Pitesti
909;What can we learn from Zimbardo’s simulation experiment that relates to one of Goffman’s major insights?;;0.04;Law;Law principles;University of Pitesti
910;Discuss why some of the social science research conducted in the past could not be replicated today.;;0.11;Law;Law principles;University of Pitesti
911;Discuss Tavris and Aronson’s concept of self-justification as it relates to the Milgram experiment.;;0.66;Law;Law principles;University of Pitesti
912;From a sociological standpoint discuss lessons in human behavior from Hurricane Katrina (from the boxed reading).;;0.14;Law;Law principles;University of Pitesti
913;Discuss and offer examples of both the positive and negative implications of group conformity. Discuss the potential for political use of the power of the group for social control.;;0.32;Law;Law principles;University of Pitesti
914;Discuss an example you have seen in the news in which group conformity can be seen. Give specific examples, do you think this had positive or negative implications? For whom? Use the theories from the chapter as back up for your claims.;;0.72;Law;Law principles;University of Pitesti
915;Give your opinion on the KWRU project in North Philadelphia. What is controversial about this form of social action?;;0.85;Law;Law principles;University of Pitesti
916;Define culture and explain how culture and community are intertwined.;;0.78;Law;Law principles;University of Pitesti
917;What is the significance of cultural competence to social workers? Refer to the NASW Code of Ethics.;;0.11;Law;Law principles;University of Pitesti
918;Based on survey research, what are attitudes toward the U.S. and U.S.foreign policy?;;0.82;Law;Law principles;University of Pitesti
919;Discuss Margaret Mead’s concept of cultural patterns and understanding a new culture.;;0.66;Law;Law principles;University of Pitesti
920;Discuss one of the U.S. value dimensions described in the text which you think is an accurate description of U.S. cultural values.;;0.58;Law;Law principles;University of Pitesti
921;Put the U.S. Protestant work ethic in historical perspective. What is the connection to capitalism?;;0.19;Law;Law principles;University of Pitesti
922;How does John Tropman differentiate Catholic ethic from Protestant ethic? Do you agree or disagree with his argument?;;0.24;Law;Law principles;University of Pitesti
923;What does U.S. census data tell us about income gaps between rich and poor? How do means-tested programs fail to eliminate poverty?;;0.1;Law;Law principles;University of Pitesti
924;Discuss equality and cooperation as Norwegian compared to U.S. values. What is the cultural significance of the man arrested for drinking and driving who had to pay a fine of over $100,000?;;0.99;Law;Law principles;University of Pitesti
925;Compared to some other cultures, are Americans more inclined toward individualism or collectivism? Document your arguments.;;0.28;Law;Law principles;University of Pitesti
926;Discuss the basic thesis of Thomas Frank’s What’s the Matter with Kansas? How can some working class people be manipulated into voting for representatives of big business?;;0.15;Law;Law principles;University of Pitesti
927;How is the culture of Appalachia distinct? How does economics affect intergenerational attitudes toward education and work?;;0.09;Law;Law principles;University of Pitesti
928;Darin is experiencing personal financial problems. The amount of income he receives from his corporation is barely sufficient to cover his living expenses, the payments due on his mortgage, various...;;0.16;Law;Law principles;University of Pitesti
929;In what two ways can an amendment to the U.S. Constitution be proposed?;;0.8;Law;Law principles;University of Pitesti
930;What is wage garnishment?;;0.75;Law;Law principles;University of Pitesti
931;"Answer the following question by offering two criminology theories to explain it: ""Not every crime is harmful, and not every harmful action is criminalized. Why?""";;0.22;Law;Law principles;University of Pitesti
932;What are the various stages of a criminal trial?;;0.07;Law;Law principles;University of Pitesti
933;What is the watchman style of policing?;;0.96;Law;Law principles;University of Pitesti
934;What is the legalistic style of policing?;;0.17;Law;Law principles;University of Pitesti
935;What are the three styles of policing?;;0.41;Law;Law principles;University of Pitesti
936;What does exonerate mean?;;0.16;Law;Law principles;University of Pitesti
937;What is the legal definition of rape?;;0.24;Law;Law principles;University of Pitesti
938;Summarize Bowen v. Paramount Builders;;0.23;Law;Law principles;University of Pitesti
939;Summarize Western Union Telegraph Co. v. Hill;;0.06;Law;Law principles;University of Pitesti
940;What is civil law?;;0.15;Law;Law principles;University of Pitesti
941;What is voir dire?;;0.01;Law;Law principles;University of Pitesti
942;Why might a person declare personal bankruptcy?;;0.7;Law;Law principles;University of Pitesti
943;What is chapter 13 bankruptcy?;;0.36;Law;Law principles;University of Pitesti
944;What is chapter 7 bankruptcy?;;0.55;Law;Law principles;University of Pitesti
945;What is bankruptcy?;;0.09;Law;Law principles;University of Pitesti
946;Who is Cesare Lombroso?;;0.69;Law;Law principles;University of Pitesti
947;Explain the four steps of the career management process.;;0.31;Law;Law principles;University of Pitesti
948;When and who introduce the Stewardship Theory?;;0.06;Law;Law principles;University of Pitesti
949;Explain the critical differences between service and manufacturing.;;0.59;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
950;When an organization undergoes a change, what are some common reactions from employees and customers?;;0.07;Economics 101;Production;University of Agronomic Sciences and Veterinary Medicine Bucharest
951;Define motivation. What are the sources of motivation? What are the types of motivation? Explain in depth using examples.;;0.53;Basic Psychology;Social psychology;University of Pitesti
952;Incentives matter: a. only when people are greedy and selfish. b. only in a free market system. c. only in the private sector. d. to all human beings regardless of the environment.;;0.8;Basic Psychology;Social psychology;University of Pitesti
953;Describe a scenario where a supposedly irrelevant factor influenced your decision.;;0.02;Basic Psychology;Social psychology;University of Pitesti
954;Define value-based leadership.;;0.48;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
955;Replacement analysis and retention is a decision method to select one of two or more new equipment. a. True b. False;;0.1;Management;Analysis;University of Agronomic Sciences and Veterinary Medicine Bucharest
956;Group theory requires that symmetry operations satisfy the associative law. (a) Do they satisfy the commutative law? That is, does a different order of the same symmetry operations always yield th...;;0.34;Law;Law principles;University of Pitesti
957;How are budgets related to organizational strategies?;;0.5;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
958;In the context of business, what is meant by asset allocation? How important is this decision-making?;;0.87;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
959;What is meant by the term service level in accounting?;;0.51;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
960;What is imprinting? Give an example. A. fixed association, such as hatching ducks recognizing the first animal they see as their mother B. a learned behavior, such as a wasp circling during a searc...;;0.87;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
961;DeShawn has high job satisfaction and enjoys he is able to be creative and self-directed at his job. DeShawn is probably in: a) job satisfaction is unrelated to socioeconomic status. b) a middle-cl...;;0.48;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
962;Differentiate among the type and levels of management, and the responsibilities of managers at different levels in the organizational hierarchy.;;0.6;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
963;Determine whether the following statement is true or false: The final step in management's decision-making process is to actually make the decision. If false, indicate how to correct the statement.;;0.58;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
964;Define value-based leadership.;;0.37;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
965;An autocratic leader usually is known for all of these traits except: a. Listens well. b. Offers threats. c. Has tight control. d. Drives talent away.;;0.36;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
966;Indicate two benefits and two drawbacks of pacesetting leadership.;;0.56;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
967;Compare and contrast situational, path-goal and leader-member exchange approaches to leadership. Explain the strengths and weaknesses of each. Provide real-world examples, showing in what setting e...;;0.31;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
968;What are the traits of loyalty leadership?;;0.46;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
969;What are the traits of motivational leadership?;;0.38;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
970;What are the traits of compassionate leadership?;;0.43;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
971;How is the effective rate of interest implicit in a lease agreement determined?;;0;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
972;Compare and contrast Jack Ma's leadership style with that of Steve Jobs.;;0.21;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
973;When a leader possesses a strong _______, this means the leader holds him/herself responsible for his/her own actions, believes in personal accountability, and is willing to accept the consequences...;;0.77;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
974;Answer true or false: If a leader decides to demonstrate a sense of humor, the best way to do so would be to publicly make fun of other people and mistakes they have made.;;0.3;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
975;What is leadership?;;0.41;Management;Leadership;University of Agronomic Sciences and Veterinary Medicine Bucharest
976;Which two schools of thought have largely disappeared from contemporary psychology? a) behaviorism, Gestalt b) humarism, cognitive behaviorism c) structuralism, functionalism d) structuralism, huma...;;0.56;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
977;How can goals be used as a basis for planning in early childhood education?;;0.5;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
978;Does the portion download appendixes in an audio format improve the quality of your educational experience?;;0.66;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
979;What is unique about a community psychology perspective?;;0.49;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
980;Why can some students not digest difficult concepts and others can easily? Are there any biological and genetic reasons?;;0.28;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
981;Explain the meaning of the term biological psychology.;;0.24;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
982;Define educational psychology and explain its role in shaping learning and instructions.;;0.66;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
983;Why do we need research in educational psychology?;;0.52;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
984;How does religion affect the education system?;;0.11;Basic Psychology;Educational psychology;"""1 Decembrie 1918"" University of Alba-Iulia"
985;"Who is responsible for coining the phrase ""curriculum-based measurement/assessment""?";;0.9;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
986;What do face validity and content validity have in common?;;0.32;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
987;A researcher developed a program to train dogs and finds that it works really well in the lab. However, the program does not work when he uses it in a busy dog park. Testing in the researcher's lab...;;0.63;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
988;The validity of a study can be evaluated in a number of ways. What are some examples?;;0.68;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
989;How can a counselor determine that a specific test is an appropriate test for a client's demographic?;;0.31;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
990;The reliability factor table provides factors for as many as three computations when planning and evaluating the results of a PPS sample. Describe in general terms each of these computations.;;0.33;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
991;Why is subsistence farming less efficient than commercial farming?;;0.47;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
992;When did subsistence farming begin?;;0.43;Basic Psychology;Statistics;University of Agronomic Sciences and Veterinary Medicine Bucharest
993;What type of subsistence farming is found in the Philippines?;;0.91;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
994;What led hunters and gatherers to switch to subsistence farming?;;0.71;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
995;What is the difference between commercial and subsistence farming?;;0.76;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
996;What is intensive subsistence farming?;;0.18;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
997;Does Switzerland use commercial or subsistence farming?;;0.99;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
998;Is subsistence farming practiced in Africa?;;0.9;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
999;Is subsistence farming intensive or extensive?;;0.34;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
1000;Is intensive subsistence farming an example of commercial farming?;;0.67;Basic Psychology;Statistics;"""1 Decembrie 1918"" University of Alba-Iulia"
